Name,Team,GP,Min,M-FG,A-FG,Pct-FG,M-3PT,A-3PT,Pct-3PT,M-FT,A-FT,Pct-FT,Off-Rb,Def-Rb,Tot-Rb,Ast,TO,Stl,Blk,PF,PPG
Wesley Johnson,LAC,73,20.4,2.5,6.3,40.3,1.3,3.9,32.5,0.4,0.6,64.4,0.5,2.7,3.1,0.6,0.7,1.1,0.6,2.2,6.8
Thabo Sefolosha,ATL,68,23.7,2.6,5.2,51,0.6,1.7,34.7,0.9,1.4,64.1,0.7,3.9,4.6,1.4,0.9,1.2,0.5,1.4,6.7
Ed Davis,POR,74,20.9,2.5,4.1,61.2,0,0,N/A,1.5,2.7,56.6,2.7,4.6,7.4,1.1,0.8,0.7,0.9,2.4,6.6
Andrea Bargnani,BKN,46,13.8,2.8,6.1,45.5,0.1,0.3,18.8,1,1.2,82.5,0.6,1.5,2.1,0.4,0.6,0.1,0.2,1.3,6.6
Andrew Goudelock,HOU,2,10.7,3,4.5,66.7,0.5,1.5,33.3,0,0,N/A,0,0,0,1,0,1,0.5,1,6.5
Leandro Barbosa,GS,60,15.7,2.5,5.5,46.2,0.6,1.6,33.7,0.8,1,83.3,0.4,1.3,1.6,1.3,0.8,0.7,0.2,1.6,6.5
Justise Winslow,MIA,70,28.8,2.5,5.9,43.2,0.4,1.5,26.2,1,1.5,68.2,1,4.2,5.2,1.5,1.3,0.9,0.4,2.4,6.5
Donatas Motiejunas,HOU,30,14.7,2.5,5.5,46.3,0.5,1.5,32.6,1,1.6,61.7,1,2,3,1,1.2,0.4,0.1,1.9,6.5
Kosta Koufos,SAC,71,18.4,2.8,5.3,52.8,0,0,N/A,0.7,1.3,56.7,2.1,3.1,5.2,0.3,0.6,0.5,0.9,2.3,6.4
Tyson Chandler,PHO,60,23.6,2.5,4.4,55.8,0,0,0,1.5,2.4,61.3,2.5,5.9,8.4,0.9,1.4,0.5,0.6,2.2,6.4
Timofey Mozgov,CLE,68,17.5,2.8,4.9,56.3,0,0.1,14.3,0.9,1.2,71.4,1.5,2.9,4.4,0.4,1,0.3,0.7,2.1,6.4
Boris Diaw,SA,73,18.3,2.7,5.1,52.7,0.3,0.9,36.8,0.8,1,74.3,0.8,2.4,3.1,2.3,1.2,0.4,0.3,1.4,6.4
